1,1,Breakfast
1,2,Dinner
1,3,Grub
1,4,Sandwiches
1,5,Salads
2,1,Side Items
2,2,Soups
2,3,Salads
2,4,Salad Dressings
2,5,Entrees
2,6,Sandwiches
2,7,Specialty Pizzas
2,8,Kids Menu
2,9,Desserts
2,10,Milkshakes
