106,2,7,Five Cheese Pizza,14.29,,Italian,
107,2,7,Grilled Veggie Pizza,14.29,,Italian,234
108,2,7,Meat Market Pizza,14.29,,Italian,
109,2,7,Mediterranean Pizza,14.29,,Italian,240
110,2,7,Portobello and Bacon Pizza,14.29,,Italian,
111,2,7,Sausage and Goat Cheese Pizza,14.29,,Italian,256
112,2,7,Southwest Chicken Pizza,14.29,,Italian,
113,2,7,Special Pizza,14.29,,Italian,
114,2,7,Spicy Chicken Cilantro Pizza,14.29,,Italian,275
115,2,8,Blue Cheese Chips,3.99,,American,669
116,2,8,Fresh Fruit,2.59,,American,71
117,2,8,Fries,2.99,,American,450
118,2,8,Homemade Chips,1.99,,American,
119,2,8,Onion Rings,5.29,,American,541
120,2,8,Side Caesar Salad,3.69,,American,
121,2,8,Side Garden Salad,3.39,,American,
122,2,8,Steamed Broccoli,1.99,,American,84
123,2,9,Butterfinger Milkshake,4.09,,American,1295
124,2,9,Chocolate Chip Cookie,1.25,,American,370
125,2,9,Chocolate Chunk Cookie,1.25,,American,630
126,2,9,Chocolate Milkshake,3.99,,American,1000
127,2,9,Cookie Sundae,4.29,,American,
128,2,9,Hot Lava Cake,4.89,,American,
129,2,9,Ice Cream Loopwich,3.5,,American,
130,2,9,Oatmeal Raisin Cookie,1.25,,American,220
131,2,9,Oreo Milkshake,4.09,,American,1300
132,2,9,Peanut Butter Cookie,1.25,,American,405
133,2,9,Red Velvet Cake,4.89,,American,
134,2,9,Reeses Peanut Butter Milkshake,4.09,,American,
135,2,9,Strawberry Banana Shake,4.09,,American,
136,2,9,Strawberry Milkshake,3.99,,American,875
137,2,9,Vanilla Milkshake,3.99,,American,819
138,2,9,White Chocolate Macadamia Nut Cookie,1.25,,American,390
